game_id,game_name_abbr,index,type,inversed
c26c3b9c-5582-4155-9f76-b31e47c07f2a,BART,mean_pumps,misc,1
c26c3b9c-5582-4155-9f76-b31e47c07f2a,BART,mean_pumps_raw,exclude,
c26c3b9c-5582-4155-9f76-b31e47c07f2a,BART,num_explosion,exclude,
6c84a085-e118-4089-9143-a65a24c74aa4,Driving,still_ratio,misc,0
1afaf178-4409-48c7-99dc-1e5c4c1383a8,DG,perc_good,misc,0
1afaf178-4409-48c7-99dc-1e5c4c1383a8,DG,sum_outcome,exclude,
b058c5e3-cff0-417d-93a9-dd82f901530d,StopSig,medrt_go,exclude,
b058c5e3-cff0-417d-93a9-dd82f901530d,StopSig,pc_all,exclude,
b058c5e3-cff0-417d-93a9-dd82f901530d,StopSig,pc_go,exclude,
b058c5e3-cff0-417d-93a9-dd82f901530d,StopSig,ssrt,rt_contrast,1
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,cong_eff_pc,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,cong_eff_rt,rt_contrast,1
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,mrt_con,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,mrt_inc,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,mrt_pure,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,mrt_repeat,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,mrt_switch,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,pc_con,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,pc_inc,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,pc_pure,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,pc_repeat,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,pc_switch,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,switch_cost_pc_gen,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,switch_cost_pc_spe,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,switch_cost_rt_gen,exclude,
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,Faces,switch_cost_rt_spe,rt_contrast,1
ebcab989-3390-446c-ac8f-f61132765f3e,Birds,cong_eff_pc,exclude,
ebcab989-3390-446c-ac8f-f61132765f3e,Birds,cong_eff_rt,rt_contrast,1
